Missed States
Alabama
Arkansas
Connecticut
Delaware
Georgia
Idaho
Illinois
Indiana
Iowa
Kansas
Kentucky
Louisiana
Maine
Maryland
Massachusetts
Michigan
Minnesota
Mississippi
Missouri
Montana
Nebraska
New Hampshire
New Jersey
New York
North Carolina
North Dakota
Oregon
Rhode Island
South Carolina
South Dakota
Tennessee
Vermont
Virginia
Washington
West Virginia
Wisconsin
Wyoming
